time,theta1,theta2,theta1_dot,theta1_kal,theta2_kal,theta1dot_kal,motor_value
1090,-0.475481,0.628,1.7174,-0.180326,0.6123,1.72608,100
1100,-0.153555,0.2669,1.91225,-0.0446244,0.2983,1.90704,91
1110,0.459942,-0.0785,1.66949,0.106249,-0.0471,1.64936,72
1120,0.260318,-0.5966,0.922584,0.226263,-0.5809,1.00697,16
1130,0.284202,-1.2717,-0.00638835,0.308196,-1.2717,-0.0164349,57
1140,-0.304921,-1.4758,-0.801738,0.194543,-1.4758,-0.773203,15
1150,-0.0963649,-1.2246,-0.152788,0.111527,-1.256,-0.427996,20
1160,0.901855,-1.0362,0.532895,0.153857,-1.099,0.407312,100
1170,-0.133955,-0.6594,-1.538,0.154702,-0.7693,-1.40623,42
1180,-0.0611864,-0.1727,0.972627,0.0183616,-0.1884,0.835027,52
1190,-0.0680887,-0.0785,-0.484982,0.0906547,-0.1099,-0.781579,86
1200,0.315085,0.3297,-1.00031,0.0470553,0.1884,-1.02301,62
1210,-0.584026,0.7379,-1.52948,-0.0551325,0.7536,-1.32093,73
1220,0.235371,0.8635,0.160241,-0.0103442,0.8321,-0.797843,57
1230,-0.220737,1.1304,-0.631382,-0.055503,1.1147,-0.640714,74
1240,-0.0853564,1.099,0.60849,-0.0348954,1.1147,1.34171,64
1250,-0.250157,1.3188,-0.595181,-0.0270387,1.3031,-0.963576,57
1260,0.00592812,1.2089,0.548333,-0.0161322,1.2246,0.619851,82
1270,0.0689344,1.3502,-1.09134,-0.0205524,1.3345,-0.783284,17
1280,-0.123325,1.6642,0.491903,-0.0842618,1.6485,0.626061,41
1290,0.734753,1.4444,-0.556851,-0.022576,1.4444,0.58352,84
1300,-0.72028,1.6328,-1.71474,-0.0406426,1.6328,-1.04552,95
1310,-0.10336,1.4601,0.9689,-0.0628263,1.4758,0.870451,9
1320,-0.203432,1.3816,-0.0899693,-0.030552,1.3816,-0.958245,100
1330,-0.296622,1.1775,1.15895,-0.0478164,1.1461,1.12516,70
1340,-0.297277,0.8949,2.6714,0.00549731,0.942,2.6442,38
1350,-0.0032914,0.471,0.650547,0.157579,0.471,0.63205,100
1360,0.768602,0.5966,0.351892,0.204009,0.5652,0.540919,100
1370,0.166949,1.0833,-0.930037,0.206996,1.0676,-0.963314,100
1380,-0.365423,1.6171,-0.939088,0.113463,1.6014,-1.17266,100
1390,-0.45586,1.8212,-1.8441,0.0101378,1.7741,-1.63419,100
1400,-0.00995038,2.3864,-2.98389,-0.13054,2.3079,-2.82016,100
1410,-0.00971137,2.9359,-1.53267,-0.299451,2.9202,-1.8102,100
1420,-0.839505,3.2185,-2.46644,-0.473848,3.2185,-2.43533,100
1430,-0.670848,2.9359,-0.0228916,-0.626291,2.9516,0.00555245,100
1440,-0.496313,2.669,1.2814,-0.634919,2.6847,1.29903,100
1450,-0.499337,2.3236,1.9575,-0.560885,2.3236,1.97138,100
1460,-0.697864,1.9625,1.96548,-0.484071,1.9782,2.01045,100
1470,-0.841409,1.7427,2.34932,-0.380328,1.7427,2.27348,100
1480,-0.381089,1.1304,3.20216,-0.220685,1.2717,3.1342,100
1490,0.948722,0.4553,2.32909,0.0590221,0.4867,2.97046,100
1500,0.354166,0.0628,-0.596246,0.21504,0.0785,-0.46524,100
1510,0.0685523,0.0942,-1.44217,0.165393,0.0471,-1.59669,100
1520,-0.0827248,0.4396,-1.5364,0.0704265,0.3768,-1.64303,100
1530,-0.362663,0.8792,-1.42034,-0.0483972,0.8164,-1.45897,92
